symbol, name
WES.AX, Wesfarmers Ltd
WGX.AX, Westgold Resources Ltd
WHC.AX, Whitehaven Coal Ltd
WLE.AX, Wam Leaders Ltd
WOR.AX, Worley Ltd
WOW.AX, Woolworths Group Ltd
WPL.AX, Woodside Petroleum Ltd
WPR.AX, Waypoint REIT
WTC.AX, Wisetech Global Ltd
XRO.AX, Xero Ltd
YAL.AX, Yancoal Australia Ltd
Z1P.AX, ZIP Co Ltd
ZEL.AX, Z Energy Ltd
ZIM.AX, Zimplats Holdings Ltd
